None,mdate,open_d,high_d,low_d,close_d,volume
38,2020-03-06,320.0,320.5,315.0,315.0,52807.76
39,2020-03-09,307.5,310.0,305.5,305.5,88633.277
40,2020-03-10,301.5,309.0,301.0,307.0,74869.13
41,2020-03-11,309.0,310.5,302.0,302.0,64923.71
42,2020-03-12,299.0,299.0,287.0,294.0,114173.351
43,2020-03-13,275.0,294.0,272.5,290.0,151268.148
44,2020-03-16,285.0,291.0,275.5,276.5,103933.228
45,2020-03-17,265.0,276.5,265.0,268.0,122409.651
46,2020-03-18,269.5,272.5,260.0,260.0,118620.643
47,2020-03-19,252.0,253.0,235.5,248.0,160811.697
48,2020-03-20,258.5,270.0,256.0,270.0,159179.726
49,2020-03-23,257.0,262.5,252.0,255.0,76963.709
50,2020-03-24,268.0,274.0,266.0,267.5,82377.933
51,2020-03-25,276.5,280.0,274.0,277.0,80514.199
52,2020-03-26,279.5,280.0,275.5,280.0,54189.633
53,2020-03-27,284.0,286.0,273.0,273.0,69320.306
54,2020-03-30,263.5,269.0,262.5,267.5,53403.956
55,2020-03-31,273.0,274.0,269.5,274.0,53901.923
56,2020-04-01,276.5,276.5,271.5,271.5,47572.034
57,2020-04-06,273.0,275.5,270.0,275.5,59712.754
58,2020-04-07,283.5,284.0,280.5,283.0,48887.346
59,2020-04-08,285.0,285.5,283.0,285.0,38698.826
60,2020-04-09,287.5,288.0,282.5,283.0,29276.43
61,2020-04-10,280.0,282.0,279.0,279.5,28206.858
62,2020-04-13,278.5,281.5,278.5,278.5,22196.596
63,2020-04-14,281.0,285.5,280.0,285.0,50196.688
64,2020-04-15,287.0,288.5,286.0,287.5,58561.434
65,2020-04-16,283.0,288.5,283.0,286.5,48257.28
66,2020-04-17,303.5,308.5,300.5,306.5,117447.201
67,2020-04-20,308.0,309.0,302.5,304.0,44586.86
68,2020-04-21,300.5,301.5,293.5,295.0,61949.357
69,2020-04-22,294.5,295.0,290.5,294.0,43568.58
70,2020-04-23,300.0,300.0,294.0,295.5,39977.278
71,2020-04-24,295.5,297.0,294.0,294.0,26465.09
72,2020-04-27,298.0,298.5,296.0,298.0,38493.406
73,2020-04-28,298.5,298.5,294.5,296.5,37621.165
74,2020-04-29,299.0,301.5,298.0,299.0,46253.301
75,2020-04-30,302.0,305.0,301.5,304.5,58439.085
76,2020-05-04,294.5,296.5,294.0,295.0,72252.861
77,2020-05-05,296.5,298.0,295.0,295.5,23988.405
78,2020-05-06,294.5,296.0,292.5,296.0,35704.479
79,2020-05-07,294.5,299.0,294.5,297.5,28017.198
80,2020-05-08,300.0,300.0,296.0,297.5,35613.893
81,2020-05-11,300.0,301.5,298.5,301.0,32379.019
82,2020-05-12,297.5,298.5,295.0,295.0,52494.788
83,2020-05-13,293.0,297.0,292.5,297.0,46158.418
84,2020-05-14,293.0,295.0,292.5,293.0,34480.948
85,2020-05-15,297.5,298.5,294.5,298.0,44304.804
86,2020-05-18,291.0,293.5,290.0,290.0,96872.065
87,2020-05-19,294.0,294.0,291.5,291.5,53083.214
88,2020-05-20,293.0,294.0,291.0,294.0,36789.994
89,2020-05-21,296.0,298.0,295.0,297.5,36299.468
90,2020-05-22,294.5,295.0,291.0,292.0,41138.923
91,2020-05-25,290.5,293.0,288.5,292.0,32942.223
92,2020-05-26,295.0,297.5,293.5,295.5,35817.481
93,2020-05-27,297.0,298.0,295.5,296.5,23375.959
94,2020-05-28,298.5,298.5,293.0,294.0,32395.568
95,2020-05-29,292.0,292.5,290.0,292.0,96611.181
96,2020-06-01,294.0,296.5,293.5,295.5,37936.214
97,2020-06-02,296.0,297.5,296.0,296.5,26663.587
98,2020-06-03,300.0,301.0,298.0,301.0,67894.337
99,2020-06-04,305.0,306.0,304.0,306.0,47225.322
100,2020-06-05,308.5,312.0,308.0,311.5,44077.262
101,2020-06-08,316.0,319.0,315.0,318.0,52042.921
102,2020-06-09,316.5,319.0,314.0,319.0,37068.082
103,2020-06-10,319.0,324.0,318.0,322.5,42207.259
104,2020-06-11,325.5,327.0,318.5,320.5,50612.255
105,2020-06-12,313.0,317.5,312.5,316.0,46970.918
106,2020-06-15,316.0,317.5,308.5,309.5,51032.404
107,2020-06-16,317.0,317.0,314.0,315.0,40725.216
108,2020-06-17,316.5,317.0,313.5,315.0,34692.968
109,2020-06-18,314.5,315.0,313.0,314.5,35443.474
110,2020-06-19,314.0,314.5,312.0,314.5,48130.28
111,2020-06-22,314.5,316.5,312.0,312.0,37374.616
112,2020-06-23,316.0,316.5,312.5,315.0,41300.084
113,2020-06-24,319.0,320.0,316.0,317.5,55464.024
114,2020-06-29,314.0,315.0,310.0,312.0,56672.892
115,2020-06-30,313.5,314.0,311.0,313.0,49241.86
116,2020-07-01,315.0,318.0,314.0,317.5,29685.342
117,2020-07-02,319.0,322.0,318.0,322.0,37789.178
118,2020-07-03,327.0,330.5,326.5,329.5,55656.987
119,2020-07-06,332.5,338.0,332.0,338.0,57256.22
120,2020-07-07,343.5,346.0,338.0,338.5,59046.323
121,2020-07-08,337.5,342.5,337.5,341.0,33813.218
122,2020-07-09,346.0,347.0,343.0,345.0,37410.376
123,2020-07-10,352.5,353.0,345.5,348.5,60902.108
124,2020-07-13,351.0,354.5,350.5,354.5,49459.523
125,2020-07-14,355.0,364.0,354.5,363.5,63030.15
126,2020-07-15,366.0,370.0,361.0,363.0,75105.362
127,2020-07-16,359.0,361.0,353.5,357.5,68582.512
128,2020-07-17,361.0,369.0,360.0,367.0,66403.485
129,2020-07-20,370.0,370.0,362.5,366.0,44940.238
130,2020-07-21,372.5,387.0,371.5,383.0,64440.128
131,2020-07-22,381.0,386.0,379.0,384.0,43959.67
132,2020-07-23,382.0,383.0,379.0,381.5,45397.282
133,2020-07-24,390.0,395.0,382.0,386.0,90988.734
134,2020-07-27,420.5,424.5,416.5,424.5,103315.64
135,2020-07-28,464.0,466.5,428.5,435.0,172157.746
136,2020-07-29,428.0,431.5,419.5,422.0,88641.166
137,2020-07-30,436.5,441.0,428.5,434.0,69936.949
138,2020-07-31,426.0,432.0,425.5,425.5,50484.674
139,2020-08-03,420.5,424.0,415.0,416.0,77288.571
140,2020-08-04,421.5,425.5,418.5,425.5,41697.445
141,2020-08-05,430.5,433.5,426.0,429.0,47460.834
142,2020-08-06,437.5,438.0,431.0,435.0,43443.627
143,2020-08-07,433.5,434.0,428.0,433.0,37611.388
